run_id,n_particles,epsilon,k_min,hubble,eta,runtime_s,steps,ms_per_step,seg_final,seg_max,dipole_suppressed,sigma_rho,sigma_p,r_ratio,void_fraction,sheet_fraction,filament_fraction,node_fraction,ke_final,pe_final,virial_ratio,early_stop_reason
run_001_20260305_221824,512000,0.1500,2,0.0000,1.0000,63.3,500,125.9,0.176447,0.176447,true,3.467273,0.662546,5.2333,0.0711,0.4015,0.5141,0.0133,3.225667e9,-3.110529e8,20.7403,virial_explosion_step_500
run_002_20260305_221929,512000,0.1500,2,0.0000,1.0450,63.8,500,126.7,0.172063,0.172063,true,3.611799,0.656405,5.5024,0.0792,0.3952,0.5116,0.0140,3.153535e9,-3.083306e8,20.4555,virial_explosion_step_500
run_003_20260305_222033,512000,0.1500,2,0.0000,1.1000,112.4,700,159.8,0.186757,0.186757,true,3.255295,0.723136,4.5016,0.0893,0.3816,0.5204,0.0087,3.190296e9,-3.140539e8,20.3169,virial_explosion_step_700
run_004_20260305_222226,512000,0.1500,2,0.0100,1.0000,63.9,500,127.0,0.088768,0.088768,true,3.444753,0.667857,5.1579,0.0763,0.4165,0.4935,0.0137,3.002279e9,-2.972418e8,20.2009,virial_explosion_step_500
run_005_20260305_222331,512000,0.1500,2,0.0100,1.0450,74.5,550,134.7,0.194900,0.194900,true,3.357217,0.682033,4.9224,0.0799,0.3995,0.5093,0.0114,3.270289e9,-3.023010e8,21.6360,virial_explosion_step_550
run_006_20260305_222446,512000,0.1500,2,0.0100,1.1000,63.1,500,125.3,0.091150,0.091150,true,3.448654,0.658485,5.2373,0.0826,0.3955,0.5086,0.0133,2.983214e9,-2.926127e8,20.3902,virial_explosion_step_500
run_007_20260305_222550,512000,0.1500,2,0.0200,1.0000,73.7,550,133.2,0.141608,0.141608,true,3.350868,0.673593,4.9746,0.0751,0.3925,0.5211,0.0113,3.230929e9,-3.055140e8,21.1508,virial_explosion_step_550
run_008_20260305_222705,512000,0.1500,2,0.0200,1.0450,62.8,500,124.8,0.179558,0.179558,true,3.459940,0.648849,5.3324,0.0783,0.4052,0.5032,0.0133,3.049398e9,-3.047211e8,20.0144,virial_explosion_step_500
run_009_20260305_222808,512000,0.1500,2,0.0200,1.1000,55.3,450,122.0,0.167385,0.167385,true,3.618313,0.649150,5.5739,0.0726,0.3942,0.5188,0.0143,3.167988e9,-3.026317e8,20.9363,virial_explosion_step_450
run_010_20260305_222904,512000,0.1500,3,0.0000,1.0000,166.5,1000,165.7,0.089548,0.089548,true,2.783604,0.740879,3.7572,0.0786,0.3355,0.5774,0.0085,1.281229e9,-2.776049e8,9.2306,completed
run_011_20260305_223151,512000,0.1500,3,0.0000,1.0450,167.8,1000,167.0,0.094962,0.094962,true,2.798102,0.735407,3.8048,0.0938,0.3680,0.5289,0.0093,1.269605e9,-2.802975e8,9.0590,completed
run_012_20260305_223440,512000,0.1500,3,0.0000,1.1000,167.5,1000,166.8,0.124658,0.124658,true,2.800680,0.736820,3.8010,0.0843,0.3554,0.5507,0.0096,1.275726e9,-2.780482e8,9.1763,completed
run_013_20260305_223728,512000,0.1500,3,0.0100,1.0000,167.0,1000,166.2,0.106199,0.106199,true,2.770004,0.738386,3.7514,0.0644,0.3108,0.6159,0.0089,1.330498e9,-2.754394e8,9.6609,completed
run_014_20260305_224016,512000,0.1500,3,0.0100,1.0450,169.1,1000,168.4,0.113160,0.113160,true,2.793791,0.738206,3.7846,0.0736,0.3269,0.5911,0.0084,1.323392e9,-2.767954e8,9.5622,completed
run_015_20260305_224306,512000,0.1500,3,0.0100,1.1000,167.4,1000,166.6,0.096637,0.098216,true,2.788631,0.733000,3.8044,0.0884,0.3658,0.5355,0.0103,1.306788e9,-2.814912e8,9.2848,completed
run_016_20260305_224554,512000,0.1500,3,0.0200,1.0000,166.9,1000,166.2,0.116370,0.116370,true,2.829805,0.735106,3.8495,0.0671,0.3242,0.6001,0.0086,1.339841e9,-2.700017e8,9.9247,completed
run_017_20260305_224842,512000,0.1500,3,0.0200,1.0450,165.1,1000,164.3,0.112867,0.112867,true,2.876847,0.732626,3.9268,0.0745,0.3402,0.5756,0.0097,1.348220e9,-2.771739e8,9.7283,completed
run_018_20260305_225127,512000,0.1500,3,0.0200,1.1000,166.3,1000,165.5,0.122027,0.124890,true,2.761874,0.735871,3.7532,0.0866,0.3319,0.5712,0.0103,1.328368e9,-2.792822e8,9.5127,completed
run_019_20260305_225414,512000,0.1500,4,0.0000,1.0000,145.1,1000,144.3,0.072774,0.072774,true,2.553633,0.739848,3.4516,0.0778,0.3419,0.5665,0.0137,5.899393e8,-2.654005e8,4.4457,completed
run_020_20260305_225640,512000,0.1500,4,0.0000,1.0450,144.9,1000,144.2,0.107905,0.107905,true,2.561565,0.738704,3.4676,0.0749,0.3460,0.5643,0.0148,6.048068e8,-2.634367e8,4.5917,completed
run_021_20260305_225906,512000,0.1500,4,0.0000,1.1000,146.4,1000,145.6,0.122151,0.122151,true,2.594614,0.738949,3.5112,0.0750,0.3336,0.5777,0.0137,6.172173e8,-2.645869e8,4.6655,completed
run_022_20260305_230133,512000,0.1500,4,0.0100,1.0000,145.5,1000,144.8,0.102068,0.102068,true,2.549553,0.738084,3.4543,0.0768,0.3511,0.5580,0.0142,6.010659e8,-2.660907e8,4.5178,completed
run_023_20260305_230359,512000,0.1500,4,0.0100,1.0450,145.1,1000,144.3,0.062912,0.062912,true,2.526523,0.738732,3.4201,0.0748,0.3480,0.5637,0.0135,5.897935e8,-2.678564e8,4.4038,completed
run_024_20260305_230625,512000,0.1500,4,0.0100,1.1000,146.1,1000,145.3,0.103571,0.103571,true,2.565209,0.738760,3.4723,0.0711,0.3360,0.5779,0.0150,6.047003e8,-2.671104e8,4.5277,completed
run_025_20260305_230852,512000,0.1500,4,0.0200,1.0000,146.3,1000,145.6,0.110340,0.110340,true,2.576501,0.740264,3.4805,0.0781,0.3492,0.5592,0.0136,6.033353e8,-2.663180e8,4.5309,completed
run_026_20260305_231119,512000,0.1500,4,0.0200,1.0450,144.5,1000,143.7,0.071172,0.071172,true,2.551775,0.736215,3.4661,0.0776,0.3405,0.5676,0.0143,5.956046e8,-2.601422e8,4.5791,completed
run_027_20260305_231344,512000,0.1500,4,0.0200,1.1000,148.5,1000,147.8,0.074572,0.074572,true,2.583935,0.744245,3.4719,0.0826,0.3391,0.5657,0.0126,5.924309e8,-2.627459e8,4.5095,completed
run_028_20260305_231614,512000,0.3000,2,0.0000,1.0000,64.1,500,127.4,0.173107,0.173107,true,3.658508,0.659136,5.5505,0.0708,0.4043,0.5131,0.0118,3.358801e9,-3.153201e8,21.3041,virial_explosion_step_500
run_029_20260305_231718,512000,0.3000,2,0.0000,1.0450,74.0,550,133.8,0.148596,0.148596,true,3.435243,0.688333,4.9907,0.0759,0.3961,0.5160,0.0121,3.015736e9,-2.980405e8,20.2371,virial_explosion_step_550
run_030_20260305_231833,512000,0.3000,2,0.0000,1.1000,63.7,500,126.7,0.082449,0.082449,true,3.479860,0.657371,5.2936,0.0689,0.3866,0.5319,0.0125,3.202561e9,-2.968314e8,21.5783,virial_explosion_step_500
run_031_20260305_231938,512000,0.3000,2,0.0100,1.0000,97.5,650,149.2,0.231368,0.231368,true,3.328967,0.696478,4.7797,0.0739,0.3936,0.5233,0.0092,3.405917e9,-3.122947e8,21.8122,virial_explosion_step_650
run_032_20260305_232116,512000,0.3000,2,0.0100,1.0450,54.9,450,121.2,0.227941,0.227941,true,3.576561,0.634951,5.6328,0.0700,0.3841,0.5307,0.0152,3.252453e9,-3.069052e8,21.1952,virial_explosion_step_450
run_033_20260305_232211,512000,0.3000,2,0.0100,1.1000,73.8,550,133.4,0.185211,0.185211,true,3.478884,0.673520,5.1652,0.0745,0.3883,0.5248,0.0123,3.195082e9,-3.006807e8,21.2523,virial_explosion_step_550
run_034_20260305_232326,512000,0.3000,2,0.0200,1.0000,54.6,450,120.6,0.122355,0.124249,true,3.615368,0.649122,5.5696,0.0775,0.3955,0.5140,0.0130,2.969324e9,-2.918885e8,20.3456,virial_explosion_step_450
run_035_20260305_232421,512000,0.3000,2,0.0200,1.0450,54.5,450,120.4,0.089079,0.089079,true,3.516660,0.645885,5.4447,0.0727,0.3930,0.5193,0.0149,2.936386e9,-2.897715e8,20.2669,virial_explosion_step_450
run_036_20260305_232517,512000,0.3000,2,0.0200,1.1000,64.2,500,127.7,0.168749,0.168749,true,3.582597,0.659360,5.4334,0.0752,0.4026,0.5093,0.0129,3.377166e9,-3.126505e8,21.6035,virial_explosion_step_500
run_037_20260305_232622,512000,0.3000,3,0.0000,1.0000,166.8,1000,166.0,0.139066,0.139066,true,2.793861,0.737476,3.7884,0.0811,0.3488,0.5608,0.0094,1.317534e9,-2.753672e8,9.5693,completed
run_038_20260305_232909,512000,0.3000,3,0.0000,1.0450,166.1,1000,165.3,0.125468,0.125468,true,2.806917,0.736590,3.8107,0.0740,0.3399,0.5768,0.0094,1.286367e9,-2.754733e8,9.3393,completed
run_039_20260305_233156,512000,0.3000,3,0.0000,1.1000,166.7,1000,165.9,0.118468,0.124463,true,2.814080,0.735506,3.8260,0.0717,0.3253,0.5936,0.0094,1.350818e9,-2.794074e8,9.6692,completed
run_040_20260305_233443,512000,0.3000,3,0.0100,1.0000,168.2,1000,167.4,0.099604,0.099604,true,2.810458,0.734767,3.8250,0.0924,0.3957,0.5019,0.0100,1.295989e9,-2.765303e8,9.3732,completed
run_041_20260305_233732,512000,0.3000,3,0.0100,1.0450,166.8,1000,166.0,0.178585,0.178585,true,2.815853,0.736862,3.8214,0.0825,0.3494,0.5584,0.0097,1.325945e9,-2.760945e8,9.6050,completed
run_042_20260305_234020,512000,0.3000,3,0.0100,1.1000,168.2,1000,167.4,0.126705,0.126705,true,2.795819,0.739091,3.7828,0.0714,0.3224,0.5971,0.0091,1.326579e9,-2.811646e8,9.4363,completed
run_043_20260305_234309,512000,0.3000,3,0.0200,1.0000,166.3,1000,165.5,0.061774,0.061774,true,2.807707,0.736329,3.8131,0.0891,0.3575,0.5444,0.0089,1.300434e9,-2.691727e8,9.6625,completed
run_044_20260305_234556,512000,0.3000,3,0.0200,1.0450,167.9,1000,167.1,0.118263,0.128354,true,2.792653,0.739990,3.7739,0.0775,0.3317,0.5820,0.0088,1.304045e9,-2.757199e8,9.4592,completed
run_045_20260305_234844,512000,0.3000,3,0.0200,1.1000,166.6,1000,165.8,0.130202,0.130202,true,2.825651,0.734824,3.8453,0.0759,0.3366,0.5785,0.0090,1.355296e9,-2.745272e8,9.8737,completed
run_046_20260305_235132,512000,0.3000,4,0.0000,1.0000,144.2,1000,143.4,0.084718,0.084718,true,2.577269,0.736499,3.4993,0.0766,0.3379,0.5719,0.0137,6.127927e8,-2.650737e8,4.6236,completed
run_047_20260305_235356,512000,0.3000,4,0.0000,1.0450,145.0,1000,144.2,0.098103,0.098103,true,2.568444,0.737519,3.4825,0.0729,0.3316,0.5821,0.0134,6.153298e8,-2.627195e8,4.6843,completed
run_048_20260305_235622,512000,0.3000,4,0.0000,1.1000,146.0,1000,145.2,0.050146,0.050146,true,2.539574,0.741169,3.4264,0.0750,0.3449,0.5665,0.0136,5.810837e8,-2.642777e8,4.3975,completed
run_049_20260305_235849,512000,0.3000,4,0.0100,1.0000,144.1,1000,143.4,0.117200,0.117200,true,2.567753,0.737528,3.4816,0.0669,0.3235,0.5954,0.0142,6.170578e8,-2.639324e8,4.6759,completed
run_050_20260306_000114,512000,0.3000,4,0.0100,1.0450,146.7,1000,146.0,0.066430,0.066430,true,2.551043,0.742125,3.4375,0.0802,0.3522,0.5535,0.0141,5.976373e8,-2.569856e8,4.6511,completed
run_051_20260306_000341,512000,0.3000,4,0.0100,1.1000,147.5,1000,146.7,0.065795,0.065795,true,2.553895,0.742490,3.4396,0.0818,0.3568,0.5473,0.0140,5.912419e8,-2.670070e8,4.4287,completed
run_052_20260306_000610,512000,0.3000,4,0.0200,1.0000,147.3,1000,146.5,0.094671,0.094671,true,2.547023,0.739746,3.4431,0.0774,0.3434,0.5649,0.0143,6.003773e8,-2.643528e8,4.5422,completed
run_053_20260306_000837,512000,0.3000,4,0.0200,1.0450,146.0,1000,145.3,0.075751,0.075751,true,2.584910,0.737252,3.5061,0.0898,0.3555,0.5398,0.0149,6.171883e8,-2.628857e8,4.6955,completed
run_054_20260306_001104,512000,0.3000,4,0.0200,1.1000,145.0,1000,144.2,0.086809,0.086809,true,2.571156,0.734697,3.4996,0.0719,0.3363,0.5772,0.0146,6.171081e8,-2.628534e8,4.6955,completed
run_055_20260306_001330,512000,0.4000,2,0.0000,1.0000,54.6,450,120.5,0.164351,0.164351,true,3.617246,0.643258,5.6233,0.0698,0.4010,0.5159,0.0133,3.128608e9,-3.051555e8,20.5050,virial_explosion_step_450
run_056_20260306_001425,512000,0.4000,2,0.0000,1.0450,96.5,650,147.7,0.119574,0.119574,true,3.168098,0.705288,4.4919,0.0759,0.3802,0.5339,0.0101,3.091994e9,-2.999591e8,20.6161,virial_explosion_step_650
run_057_20260306_001602,512000,0.4000,2,0.0000,1.1000,73.4,550,132.6,0.225134,0.225134,true,3.255349,0.679274,4.7924,0.0758,0.4066,0.5057,0.0119,3.143133e9,-3.029090e8,20.7530,virial_explosion_step_550
run_058_20260306_001717,512000,0.4000,2,0.0100,1.0000,54.9,450,121.1,0.110833,0.110833,true,3.554202,0.653023,5.4427,0.0751,0.4057,0.5050,0.0142,3.069922e9,-3.026229e8,20.2888,virial_explosion_step_450
run_059_20260306_001812,512000,0.4000,2,0.0100,1.0450,72.6,550,131.2,0.144325,0.144325,true,3.379980,0.667029,5.0672,0.0765,0.4108,0.5003,0.0123,3.129877e9,-3.063175e8,20.4355,virial_explosion_step_550
run_060_20260306_001925,512000,0.4000,2,0.0100,1.1000,54.8,450,121.0,0.174798,0.174798,true,3.702779,0.641294,5.7739,0.0707,0.3924,0.5228,0.0141,3.187484e9,-3.124685e8,20.4020,virial_explosion_step_450
run_061_20260306_002021,512000,0.4000,2,0.0200,1.0000,54.8,450,121.0,0.108048,0.108048,true,3.485657,0.647088,5.3867,0.0730,0.3897,0.5234,0.0139,3.057054e9,-2.966081e8,20.6134,virial_explosion_step_450
run_062_20260306_002116,512000,0.4000,2,0.0200,1.0450,62.2,500,123.7,0.118419,0.118419,true,3.512418,0.650165,5.4024,0.0735,0.3891,0.5253,0.0122,3.004488e9,-2.975994e8,20.1915,virial_explosion_step_500
run_063_20260306_002219,512000,0.4000,2,0.0200,1.1000,86.0,600,142.5,0.135837,0.135837,true,3.757000,0.685484,5.4808,0.0872,0.3910,0.5125,0.0092,3.594337e9,-3.275286e8,21.9482,virial_explosion_step_600
run_064_20260306_002346,512000,0.4000,3,0.0000,1.0000,168.6,1000,167.8,0.146210,0.146210,true,2.783165,0.737748,3.7725,0.0710,0.3234,0.5964,0.0092,1.341297e9,-2.774080e8,9.6702,completed
run_065_20260306_002635,512000,0.4000,3,0.0000,1.0450,166.8,1000,166.0,0.134791,0.143806,true,2.790351,0.738428,3.7788,0.0752,0.3184,0.5971,0.0093,1.341593e9,-2.816700e8,9.5260,completed
run_066_20260306_002923,512000,0.4000,3,0.0000,1.1000,167.4,1000,166.6,0.153448,0.153448,true,2.888043,0.733109,3.9394,0.0886,0.3494,0.5527,0.0093,1.380813e9,-2.854794e8,9.6736,completed
run_067_20260306_003211,512000,0.4000,3,0.0100,1.0000,164.4,1000,163.6,0.116070,0.116070,true,2.796984,0.732069,3.8207,0.0801,0.3610,0.5496,0.0093,1.307615e9,-2.784109e8,9.3934,completed
run_068_20260306_003456,512000,0.4000,3,0.0100,1.0450,167.0,1000,166.2,0.134102,0.134102,true,2.823669,0.737047,3.8311,0.0789,0.3448,0.5663,0.0100,1.338263e9,-2.743497e8,9.7559,completed
run_069_20260306_003744,512000,0.4000,3,0.0100,1.1000,167.7,1000,166.9,0.154804,0.154804,true,2.783142,0.739773,3.7622,0.0781,0.3429,0.5693,0.0097,1.318513e9,-2.821096e8,9.3475,completed
run_070_20260306_004032,512000,0.4000,3,0.0200,1.0000,166.2,1000,165.4,0.080998,0.080998,true,2.806333,0.737744,3.8039,0.0761,0.3331,0.5814,0.0094,1.326003e9,-2.744061e8,9.6645,completed
run_071_20260306_004319,512000,0.4000,3,0.0200,1.0450,166.8,1000,166.1,0.162831,0.162831,true,2.794794,0.738075,3.7866,0.0689,0.3154,0.6068,0.0089,1.338041e9,-2.782807e8,9.6165,completed
run_072_20260306_004607,512000,0.4000,3,0.0200,1.1000,164.8,1000,164.1,0.100536,0.106108,true,2.804999,0.737511,3.8033,0.0681,0.3167,0.6065,0.0087,1.344592e9,-2.752120e8,9.7713,completed
run_073_20260306_004852,512000,0.4000,4,0.0000,1.0000,144.9,1000,144.1,0.087207,0.087207,true,2.571824,0.735484,3.4968,0.0770,0.3541,0.5543,0.0146,6.011636e8,-2.625178e8,4.5800,completed
run_074_20260306_005118,512000,0.4000,4,0.0000,1.0450,145.6,1000,144.9,0.036015,0.036015,true,2.584232,0.739220,3.4959,0.0816,0.3603,0.5448,0.0132,5.895162e8,-2.633875e8,4.4764,completed
run_075_20260306_005344,512000,0.4000,4,0.0000,1.1000,146.6,1000,145.8,0.034875,0.034875,true,2.571211,0.742385,3.4634,0.0769,0.3380,0.5721,0.0130,5.948412e8,-2.654276e8,4.4821,completed
run_076_20260306_005611,512000,0.4000,4,0.0100,1.0000,146.1,1000,145.3,0.095264,0.095264,true,2.566951,0.744848,3.4463,0.0770,0.3322,0.5770,0.0137,6.014314e8,-2.652168e8,4.5354,completed
run_077_20260306_005838,512000,0.4000,4,0.0100,1.0450,145.3,1000,144.5,0.083286,0.083286,true,2.589986,0.739159,3.5040,0.0785,0.3474,0.5599,0.0142,5.964748e8,-2.650763e8,4.5004,completed
run_078_20260306_010104,512000,0.4000,4,0.0100,1.1000,145.5,1000,144.8,0.018410,0.023819,true,2.572579,0.739848,3.4772,0.0825,0.3571,0.5457,0.0148,5.843423e8,-2.684940e8,4.3527,completed
run_079_20260306_010331,512000,0.4000,4,0.0200,1.0000,145.7,1000,144.9,0.085909,0.085909,true,2.569857,0.738120,3.4816,0.0866,0.3461,0.5530,0.0143,6.048149e8,-2.680583e8,4.5126,completed
run_080_20260306_010557,512000,0.4000,4,0.0200,1.0450,144.9,1000,144.1,0.104461,0.104461,true,2.566746,0.737128,3.4821,0.0806,0.3486,0.5566,0.0142,6.132813e8,-2.661638e8,4.6083,completed
run_081_20260306_010823,512000,0.4000,4,0.0200,1.1000,145.3,1000,144.6,0.085484,0.085484,true,2.594680,0.736858,3.5213,0.0732,0.3332,0.5798,0.0138,6.066296e8,-2.689980e8,4.5103,completed
