step,z,S,H2_positive
20,904.967967,0.004628,false
40,818.958000,0.004628,false
60,741.113568,0.004628,false
80,670.659462,0.004628,false
100,606.894063,0.004628,false
120,549.182366,0.004628,false
140,496.949650,0.004628,false
160,449.675757,0.004628,false
180,406.889909,0.004628,false
200,368.166026,0.004628,false
220,333.118475,0.004628,false
240,301.398238,0.004628,false
260,272.689427,0.004628,false
280,246.706148,0.004628,false
300,223.189646,0.004628,false
320,201.905732,0.004628,false
340,182.642451,0.004628,false
360,165.207970,0.004628,false
380,149.428668,0.004628,false
400,135.147407,0.004628,false
420,122.221968,0.004628,false
440,110.523632,0.004628,false
460,99.935902,0.004628,false
480,90.353341,0.004628,false
500,81.680520,0.004628,false
520,73.831072,0.004628,false
540,66.726827,0.004628,false
560,60.297039,0.004628,false
580,54.477676,0.004628,false
600,49.210786,0.004628,false
620,44.443920,0.004628,false
640,40.129606,0.004628,false
660,36.224881,0.004628,false
680,32.690859,0.004696,false
700,29.492347,0.004696,false
720,26.597492,0.004696,false
740,23.977466,0.004696,false
760,21.606178,0.004696,false
780,19.460013,0.004696,false
800,17.517599,0.004697,false
820,15.759592,0.004697,false
840,14.168485,0.004750,false
860,12.728433,0.004751,false
880,11.425095,0.004857,false
900,10.245493,0.004856,false
920,9.177878,0.004842,false
940,8.211620,0.004748,false
960,7.337096,0.004680,false
980,6.545596,0.004710,false
1000,5.829239,0.004640,false
1020,5.180891,0.004591,false
1040,4.594095,0.004515,false
1060,4.063008,0.004577,false
1080,3.582341,0.004955,false
1100,3.147307,0.004875,false
1120,2.753573,0.004909,false
1140,2.411741,0.005045,true
1160,2.136829,0.005190,true
1180,1.910568,0.005400,true
1200,1.720396,0.005614,true
1220,1.557819,0.005692,true
1240,1.416865,0.005946,true
1260,1.293206,0.005785,true
1280,1.183623,0.005820,true
1300,1.085663,0.006253,true
1320,0.997428,0.006210,true
1340,0.917418,0.006570,true
1360,0.844435,0.006690,true
1380,0.777509,0.006742,true
1400,0.715843,0.006890,true
1420,0.658779,0.007473,true
1440,0.605767,0.007706,true
1460,0.556342,0.007834,true
1480,0.510110,0.007913,true
1500,0.466736,0.007981,true
1520,0.425929,0.007923,true
1540,0.387440,0.007863,true
1560,0.351049,0.007929,true
1580,0.316566,0.008383,true
1600,0.283823,0.008123,true
1620,0.252674,0.008410,true
1640,0.222986,0.008717,true
1660,0.194643,0.009176,true
1680,0.167542,0.009054,true
1700,0.141589,0.008681,true
1720,0.116701,0.008552,true
1740,0.092802,0.008384,true
1760,0.069824,0.008449,true
1780,0.047707,0.008311,true
1800,0.026393,0.008105,true
1820,0.005832,0.008835,true
